,company_name,position_name,language,education,experience,responsibility,personality
12,Achmea B.V.,Enterprise Risk Manager Verzekeren,Dutch,"Degree in Economics, Business Administration, Econometrics, Actuarial Science or Accountancy;  Additional specific training in risk management (e.g., Risk Management for Financial Institutions (RMFI) or Certified Enterprise Risk Actuary (CERA) is a plus.","Minimum 5 years of relevant work experience with risk management in Consultancy or at an accounting firm; Knowledge and experience in the insurance industry, particularly in Non-Financial Risk Management (NFRM), Damage & Income and/or Healthcare is a plus.",Unknown,Broad knowledge of and interest in risk management; Able to assess risks in their interrelationships and formulate actions based on the overall risk profile; Affinity with statistical techniques that suit the data-driven insurer of the future.
13,Yacht,IT Data & Analytics,Dutch,"Completed HBO/WO education, preferably with an IT, econometric, statistical, mathematical and/or technical background","Minimum 4 years of relevant work experience in IT as, for example, a data and/or information analyst, data scientist, business intelligence consultant or similar functions; Experience with programming, for example with SQL, SAS, R and/or Python; Experience with visualization tools such as Power BI, Tableau, and/or Qlikview.",Unknown,Strong analytical skills with a practical attitude and a high degree of independence; Strong skills in orally and in writing presenting results in the Dutch language.
14,Achmea B.V.,Senior Financial Risk Manager - Market Risk,Dutch,"University degree in Actuarial Science, Econometrics, Mathematics, or Physics (or a comparable study)",Minimum 8 years of experience in quantitative market risk; Experience with managing projects and/or colleagues; Programming experience in an environment such as Matlab or R applied in practice.,Unknown,"Able to persuasively convince others of your point of view and ideas, taking into account the feelings and interests of your counterpart in a sensitive manner, while maintaining the strength of your message."
15,Achmea B.V.,Senior Financial Risk Manager - Market Risk,Dutch,"University degree in Actuarial Science, Econometrics, Mathematics, or Physics (or a comparable study)","Minimum 8 years of experience in quantitative market risk; Experience with managing projects and/or colleagues; Programming experience in an environment such as Matlab, or R applied in practice.",Unknown,"Able to persuasively convince others of your point of view and ideas, taking into account the feelings and interests of your counterpart in a sensitive manner, while maintaining the strength of your message."
16,ASML Netherlands B.V.,Unknown,English,Unknown,Extensive general work experience with substantial experience in project management in different environments/businesses; Led large company-wide projects in a technical industrial cross-cultural environment; Able to motivate and lead large teams through complex assignments.,Unknown,Expert process and organizational knowledge to make (process) decisions on critical moments in the project;  Able to communicate well at all required levels from technical operational to senior company management.
17,ASML Netherlands B.V.,Unknown,English,Unknown,"4+ years professional experience with a focus on the creation and management of technical roadmaps; Broad knowledge of design compliance and internal auditing programs; Sound understanding of Splunk technology, techniques and best practices. Including Enterprise Security and ITSI. Most preferably Splunk Certified Architect or higher; Sound understanding of Cribl Stream technology. Certification in Cribl Observability Admin (or more preferably Consultant level certification); Experienced in participating in complex projects; Experienced with frameworks like ITIL and Safe Agile.",Unknown,Unknown
18,ASML Netherlands B.V.,Unknown,English,Unknown,Unknown,"Guides the team on setting realistic commitments and meeting them; Identifies impediments to ensure committed iteration goals are met by the agile team; Lets the team start to self-organize to meet the objectives; Analyses and improves current team rituals and behavior in the team; Acts as a mentor for PO and Team members to increase team efficiency; Is a skilled facilitator of team rituals and is developing skills to motivate and coach the team and PO; Analyses team rituals, identifies bottlenecks and provides advice regarding improvements in team rituals to optimize value delivery.",Unknown
19,CAK,ETL Ontwikkelaar,Dutch,HBO+ work and thinking level,"Experience with dimensional modeling; Experience with ETL Development, Oracle Data Integrator (ODI); SQL experience.","Delivering the correct input (data) for business intelligence reports; Responsible for the entire process of development, management and (technical) integration of BI implementations; Designing and implementing custom solutions and working together with the data architect and Information Analyst; Contributing to the design and improvement of the data warehouse; Analyzing business issues of both internal and external clients at a tactical and strategic level and translating these into an information product; Advising and supporting the organization in determining/establishing information needs; Working closely with the Product Owner of the BI team.",High sense of responsibility; Able to work independently; Analytical; Enjoys searching for the question behind the question; Good communicator; Sees the added value of good internal relationship management.
20,CAK,Informatie Analist (Information Analyst),Dutch,HBO work and thinking level,Minimum 2 years of work experience as an information analyst,Requirement engineering and functional design; working with data quality and data cleansing; working with digital services for citizens; working within an agile environment; working within a service-oriented architecture,"Expert, communicative, assertive, able to work at all levels within the organization"
21,Relatie van Yacht,Product Manager,Dutch,Unknown,Experienced in giving presentations to various stakeholders; experience working in a SAFe agile environment; experience in securing laws and regulations in policy and product.,Product management; planning and organization; presenting to stakeholders; ensuring compliance with laws and regulations; working in a SAFe Agile environment.,"Responsible, excellent in planning and organizing, willingness to learn, long-term career orientation"
22,CAK,Tester,Dutch,HBO work and thinking level,At least 2 years of experience as a tester; experience with SAFe and working in a small DevOps team; experience with deploying; knowledge of (PS)SQL; experience with service-oriented environments in combination with Coded UI; experience with Oracle; experience with test automation (Specflow and/or Robotframework); experience with setting up test suites in Microsoft Test Manager.,Testing; working within a SAFe and DevOps environment; deploying software; database work using (PS)SQL; test automation; setting up test suites.,Unknown
23,CAK,Tester,Dutch,HBO work and thinking level,2-3 years of experience as a tester; experience with SAFe and working in a small DevOps team; experience deploying via Azure; experience with service-oriented environments and Coded UI; experience with Test Driven Development (preferred); experience with test automation (Specflow and/or Robotframework); experience setting up test suites in Microsoft Test Manager.,Testing; working within a SAFe and DevOps environment; deploying software via Azure; working with service-oriented architectures and Coded UI; test automation; setting up test suites.,Unknown
24,CAK,ICT Advisor/CIO Office Role,Dutch,"Minimum relevant WO (university) degree, e.g., (technical) business administration, administrative informatics, or information science",Relevant work experience in ICT consulting or similar environments;  experience with administrative chain processes and information flows in the healthcare and welfare domain (preferred); experience with strategic automation projects in similar organizations.,Providing ICT advice; working within a CIO office; supporting strategic automation projects; understanding administrative processes and information flows in healthcare and welfare.,"Analytical, strong communication skills, expert, customer-oriented"
25,CAK,IT Architect/Business Analyst,Dutch,Minimum HBO work and thinking level,At least 5 years of work experience in an IT environment as an architect or business analyst; experience in an Agile work environment.,Unknown,Unknown
26,Exter Polak & Charlouis B.V.,Application/Functional Manager,Dutch,HBO/WO work and thinking level,Minimum 4 years of relevant experience in application management/functional management; experience with creating SQL queries and scripts.,Application management; functional management; data and impact analysis; working with information flows and business processes.,"Critical, adaptable, solution-oriented, committed to personal development"
27,Randstad Groep Nederland B.V.,Commercial Account Manager (Digital),Dutch,HBO or WO diploma,"Minimum three years of experience in a similar commercial role, preferably some experience in recruitment.",Unknown,Good at building relationships with clients and candidates; trustworthy; professional; strong personality; good people skills; customer-oriented
28,Gemeente Haarlem,Functional Administrator (Elections),Dutch,Unknown,Several years of experience as a functional administrator; knowledge of BRP and the Elektor application and its processes related to elections.,Functional administration related to elections; process mapping; test plan writing.,Unknown
29,Ministerie van Financiën,Business Analyst/Agile Analyst,Dutch,HBO work and thinking level,"Experience in creating user stories, use case models, and use cases; knowledge and experience with Agile/Scrum; experience with the Atlassian suite (Jira, Confluence, and Bitbucket) is preferred; government experience is a plus.",Translating features into concrete user stories/use cases; supporting the feature team.,Team player who enjoys sharing and expanding knowledge with colleagues
30,LeasePlan Digital B.V.,Data Governance Analyst,English,College or University degree and/or relevant proven work experience (preferably as a Business Analyst with data/IT experience),"Expert in Data Management, Collibra expert on data concepts and best practices, Knowledge of Data Governance frameworks (DAMA), data quality principles, IT risk controls, business and technology issues related to the management of enterprise/digital information assets, excellent knowledge of Microsoft Office (Excel is a must), experience in project-based and agile working, experience in convincing business and technical departments on Data Governance, ability to build consensus, adapting to changing priorities in an agile environment, experience working in more than one country and/or multicultural teams (advantage)","Analyze data, implement data governance strategies, ensure data quality, collaborate with business and IT departments, define tasks, manage dependencies, prioritize tasks, meet deadlines, build consensus across the organization.","Analytical, structural, curious, flexible, creative, open to new things, proactive, process-minded, well-organized, independent, team player, positive can-do mentality"
31,Grote speler in de energie sector,Unknown,Dutch,University degree in economics and/or business administration,"Knowledge of the energy sector, strong affinity with Enterprise Architecture, Data and IT",Unknown,"Analytical, strong conceptual thinking, presentation skills at a consultancy level"
32,Vanderlande Industries Holding B.V.,Unknown,English,Unknown,"Deploying data pipelines, managing and standardizing configuration files, automation experience (Python, Shell scripting), working with Docker, Kafka",Unknown,Unknown
33,Belastingdienst B/cao,Unknown,Dutch,University degree (WO) or demonstrable university level work and thinking skills through relevant work experience,"Knowledge of or affinity with digitalization and digital service provision, knowledge of Agile/Scrum working, preferably also of the SAFe framework, knowledge of business processes, experience in relationship management, information analysis, and business analysis",Unknown,"Analytical, customer-oriented, collaborative, results-oriented, organizationally sensitive, environmentally aware"
34,Hoogheemraadschap Hollands Noorderkwartier,Unknown,Dutch,HBO+ work and thinking level,"Knowledge, experience, and certification in MS365, especially the security aspects, certificates within the Microsoft domain (on-prem and Azure), Microsoft Intune and Windows hardening, minimum 3 years of experience in this domain",Unknown,Unknown
35,Randstad Digital B.V.,Unknown,Dutch,Unknown,"At least 3 years of experience as a functional administrator, experience working in an agile organization, pension knowledge",Unknown,"Proactive, communicative, organized, structured"
36,Senior PMO,Unknown,English,Bachelor or Master degree,"At least 3 years experience in a similar position, experience in the Telecom branch, knowledge/experience with Agile and SAFe",Unknown,"Able to process and analyze complex information, strong analytical view, ability to work accurately in a fast-paced environment"
37,Rabobank,Unknown,Dutch,HBO/WO work and thinking level,"Minimum 5 years of experience in a comparable role, relevant knowledge of banking processes (preferably daily banking and/or housing), experience working with Python or SQL and experience in the field of Advanced Analytics and working with complex datasets",Unknown,Unknown
38,Yacht,Unknown,Dutch,Master's degree,"Finance knowledge, preferably experience within Rabobank, demonstrable affinity with data analysis, experience with Agile working (preferred)","Translate data into information and explain it to your conversation partner, solve complex problems","Fluent in Dutch and English (written and spoken), ambition to understand the bigger picture while also diving into details,  proactive problem solver"
39,Koninklijke Luchtvaart Maatschappij N.V.,Unknown,English,At least a Bachelor's degree (HBO) or equivalent working experience,"In-depth knowledge of, and extensive experience with Python, experience in web development, particularly JavaScript data visualizations within a HTML/CSS environment (preferred), experience in BI tools such as Power BI/Tableau/Tibco Spotfire (preferred)",Unknown,"Creative and logical thinker, strong drive to understand the unknown, team player, able to work independently and proactively, thrives in an intercultural environment, clear communication skills,  structured, initiative-taking, keen interest in exploring complex business content"
40,Checkpoint Holland Holding B.V.,Unknown,Dutch,Bachelor diploma in relevant field,"Information analysis; experience in collecting requirements and translating them into functional requirement specifications. Some skills and experience in Project Management (Microsoft Planner, SmartApp, Open Planner) is desired. Advanced knowledge of IT, especially SQL (database) knowledge and the development cycle is important. Strong communication skills, both written and oral, in English and Dutch.",Unknown,Unknown
41,Kraft Heinz International B.V.,Unknown,English,"Bachelor or Master Degree in Data Science, Computer Science, Engineering, or Statistics","4+ years of experience in Python and/or R; machine learning (clustering, time series, classification, regression, anomaly detection, simulation, and optimization queries); Big Data technologies (Hadoop, Spark, or distributed databases like Redshift and Snowflake). Knowledge of supply chain processes, project management, o9 or another advanced demand planning system, and prior participation on digital transformation projects are advantages.",Unknown,Unknown
42,DAF Trucks N.V.,Software Tester,English,"Bachelor's degree in Information Management, Computer Science, Business Administration, Finance or related field",Minimum 2 years of experience in a Financial Services environment; experience with testing off-the-shelf systems; experience with test tools and automation of testing;  analyzing and understanding complex business/system processes; working closely with developers and analysts.,Testing new and adapted functionality in the Leasing Contract Management System; automating functional and integration (regression) tests.,Strong affinity with IT; good communication and interpersonal skills; ability to work in a dynamic environment with frequently changing priorities; analytical skills
43,Gemeente Den Haag,COBOL Programmer,Dutch,"HBO degree in Information Technology, Technical Business Administration, Computer Science, or Information Science","4-8 years of experience in ICT; experience with COBOL, IBM i (OS400), programming in COBOL, DDS, CL, and SQL; experience within local government, relating to municipal services, tax matters, and parking management is a plus; experience working in an agile environment.","Maintenance, management, and further development of the IBS tax system and the PVS parking permit system; participation in agile meetings with the Parking, Liveability, and Enforcement (PLH) team.","Excellent command of Dutch (written and spoken); excellent social and communication skills; proactive and results-oriented attitude; independent, analytical; able to cooperate with colleagues from different disciplines"
44,ALSTOM Netherlands B.V.,SAP and BI Tools Expert,Dutch,Bachelor's degree in Computer Science or equivalent,"3+ years of SAP release R/3 experience in various modules; experience in programming in VBA, SQL, MS Access, MS Excel, MS Power BI",Unknown,Fluent in Dutch and English; good communication and interaction with people at all levels in an organization; 'can-do' mentality; results-driven; proactive
45,Organisatie actief in de energiebranche,IT Project Manager,Dutch,HBO/WO level technical education with IT affinity,Minimum 5 years of relevant work experience in project management in operational environments,"Planning, managing, and supervising projects to achieve set results; realization of necessary IT changes to achieve project objectives; coordinating projects within the OCC (e.g., new applications and/or processes from planning to implementation); analysis and preparation of improvement proposals for large-scale incidents; coordinating IT problems – acting as a linking pin between the OCC and IT parties.",Unknown
46,DAF Trucks N.V.,Project Manager,English,"Master's degree in information technology, technical business administration, computer science, or engineering","At least 10 years of experience as a project manager with demonstrated achievements in complex, multidisciplinary technology programs/projects; business acumen and domain knowledge of automotive engineering and connected services; experience in hybrid/agile projects.",Unknown,Enthusiastic; result-oriented and proactive attitude; excellent communication skills; analytically trained with a structured approach; team building skills; result/customer-oriented; persuasive; decisive; proficient in English and related business terminology.
47,Scheidt & Bachmann Nederland B.V.,IT Operations/Services Manager,Dutch,"HBO degree in IT, Business Administration, or Change Management",Minimum five years of management experience leading an IT Operations/Services team; extensive experience implementing incident and problem management; applying and improving ITIL principles.,Unknown,"People-oriented team player focused on collaboration; driven and goal-oriented; proactive and willing to improve; able to implement and secure; stress-resistant, able to put things into perspective and prioritize; communicative, insightful, detail-oriented, planning, delegating, decisive, and proactive; able to work with diverse work cultures and communicate in English"
48,Gemeente Den Haag,Functional Administrator,Dutch,"HBO/WO level; completed HBO degree in Information Technology, Technical Business Administration, or Computer Science/Information Science","Minimum 5 years of experience as a functional administrator; extensive experience with SQL, HTML, XML, and Smart document; demonstrable experience with BiSL, PRINCE2, TMapNEXT, and Scrum Agile (preferably with certifications). Knowledge of and experience with municipal ICT developments is a plus.",Unknown,Unknown
49,Gemeente Den Haag,Functional Administrator,Dutch,"HBO/WO level; completed HBO degree in Information Technology, Technical Business Administration, or Computer Science/Information Science","Minimum 5 years of experience as a functional administrator; extensive experience with SQL, HTML, XML, and Smart document; demonstrable experience with BiSL, PRINCE2, TMapNEXT, and Scrum Agile (preferably with certifications). Knowledge of and experience with municipal ICT developments such as Commonground and case-based working (GZAC) is a plus. Knowledge of template creation for digital forms is a plus.",Unknown,Unknown
50,DAF Trucks N.V.,Unknown,Dutch,"HBO or Academic (e.g., Business Information Science)",Knowledge of system development and implementation procedures,Helping customers and colleagues; mastering processes/systems quickly; improving processes where needed.,"Analytical, resourceful, critical, persistent, driven, communicative, enthusiastic, independent, team player"
51,Klant van Yacht,Unknown,Dutch,HBO+ level,"5-10 years of experience in a similar position (in the ICT branch); experience with system management; excellent knowledge of Excel; knowledge and experience with MS Visio, SQL; knowledge and experience with Jira, Confluence, SharePoint (preferred); knowledge and experience with webshops and retail (preferred)",Unknown,Unknown
52,OCLC Groningen,Oplossingsgerichte puzzelaar in ICT,Dutch,HBO level or higher,"Preferably relevant work experience, for example in providing support in an IT environment",Unknown,Problem-solving
53,Yunex Traffic B.V.,Meewerken aan product strategieën en beheer van producten van Digital Services,Dutch,"Completed HBO education (e.g., Business IT, account management or commercial management)","Experience working within a DevOps team, affinity as Product Owner and familiar with Agile/Scrum working methods",Contributing to product strategies and product management of Digital Services,Unknown
54,Belastingdienst,Unknown,Dutch,"Minimum HBO work and thinking level, preferably in technical or administrative information science, business administration or computer science","Minimum 3 years of knowledge and experience with Business/ICT Alignment, designing architecture, guiding the architecture you created up to realization;  proven experience applying DAMA DMBOK;  directing and implementing data architecture within a government organization; creating data architectures within a .NET and Cloud context; creating data architectures within a (micro)services landscape; excellent knowledge of Archimate and extensive experience with the use of BES; knowledge of and experience with Agile/SAFe; knowledge of TOGAF 9, Archimate, BPMN foundation, SAFe foundation.",Directing and implementing data architecture within a government organization;  creating data architectures within a .NET and Cloud context; creating data architectures within a (micro)services landscape,Unknown
55,CAK,Unknown,Dutch,Master/Bachelor in Computer Science or equivalent based on experience,Minimum 5 years of work experience managing complex Oracle environments; Linux experience,Unknown,"Critical, analytical, good communication skills,  does not like routine work and wants to automate standard tasks as much as possible, sufficient attention to the needs of the end-user, team player, willing to take on individual challenges and responsibilities, sets the bar higher for themselves, familiar with a project-based approach and can coach colleagues, sense of humor"
56,ASML Netherlands B.V.,Unknown,English,Unknown,"Minimum 3 years' experience in planning for large programs; experience in a large-scale Agile environment (SAFe); proficiency with planning applications/tools, such as Microsoft Project Online, Jira, Jira Align; track record of implementing change and improvement projects or the capability to do so; expertise in Project Management and Agile/SAFe methodologies; familiarity with the functional aspects of IT; understanding of ASML Business knowledge, including the Product Generation Process (PGP), and a general awareness of the product portfolio (EUV/DUV/Apps) is preferred.",Unknown,Unknown
57,Rabobank Utrechtse Heuvelrug,Unknown,English,Unknown,Unknown,Unknown,"Passionate about development, collaborative, focused, willing to learn from mistakes"
58,Scheidt & Bachmann Nederland B.V.,Unknown,English,Unknown,"Broad skillset in working with different technologies in the cloud; experience with database specialism, preferably with recently designed databases","Working with multiple external stakeholders (Translink, Oracle Cloud, AWS, Equinex); proactive internal collaboration with international colleagues; optimization and development in database specialism; taking own initiatives.","Proactive, takes initiative, committed, responsible, entrepreneurial"
59,Organisatie actief in de energiebranche,"De afdeling helpen met de doorontwikkeling dit vraagt om flexibiliteit en innovaties, hier herken jij jezelf in!",English,Unknown,Experience in HR IT project management; able to create an extended planning with preparation horizon and stick to it,Helping the department with further development; identifying and mitigating risks; solving issues in a timely manner; escalating when necessary.,"Independent, proactive, able to work with a preparation horizon"
60,Gemeente Den Haag,Unknown,Dutch,Unknown,Unknown,Unknown,Unknown
61,Exact Software Nederland B.V.,Information Security Officer,Dutch,"Bachelor's degree in Computer Science or related technical disciplines, preferably supplemented with additional certification in the security domain such as: CCSP, CISSP or a Cloud Security Certification or comparable experience",5 years of knowledge/experience in IT Security or IT Risk; Strong experience with Cloud Infrastructure Technology,Unknown,able to communicate cloud infrastructure knowledge effectively to others
62,Gemeente Den Haag,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
63,Ministerie van Justitie en Veiligheid,Unknown,Dutch,HBO work and thinking level,"Theoretical and practical knowledge of system development and management in a Java and Oracle environment; Experience with Agile working (Scrum); Knowledge of process-oriented working (BISL, ITIL); Knowledge of test procedures/protocols; Knowledge of formulating S.M.A.R.T.; Use of automated systems; Coordination of operational processes;  Experience with working in multidisciplinary teams and with the implementation and further development of information systems (nice-to-have)",Unknown,Unknown
64,Wolters Kluwer Global Business Services B.V.,Unknown,Dutch,HBO/WO work and thinking level,"Minimum 10 years of experience as a project manager where you have led technical projects; Extensive experience with Salesforce (Cloud) implementations and integrations; Experience working with Enterprise Architecture, project and program management, system requirements, system design and delivery and quality assurance; Proven experience coaching employees in various aspects, including technology; Proven knowledge of systems and application technologies and architecture; Experience with rolling out templates; Experience with Jira (workshops user stories and putting them well in JIRA)","Leading cross-functional teams (managing the Salesforce team and being responsible for IRB teams and local teams) in support of various Business Units; Implementing Salesforce; Sales Cloud, Service Cloud; Integrating Salesforce with other applications and systems; Ensuring continuous improvement; Designing, developing and maintaining a detailed overview of tasks to be performed and ensuring that tasks are completed on time and within budget; Budget monitoring and time management; Providing support and maintenance for services offered to the company; Improving processes where possible and stakeholder management; Starting and delivering projects from A to Z, also being involved/coaching your team; Issue management; Agile working",Unknown
65,Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,Lead Developer Urban Digital Twin Software Suite,Dutch,Relevant academic degree,Relevant work experience in IT; Experience as a lead developer or system architect in similar projects; Experience with HPC; Experience in managing and/or coaching developers,Translating project objectives into technical solutions and explaining to developers what to create; Ensuring the production and service provision of Urban Strategy is ready for this upscaling,"Creative, driven, able to connect people, comfortable in the dynamics of the high-tech industry"
66,ABN AMRO Group N.V.,Unknown,English,"HBO or University; optional certifications (ISTQB, CSTE, etc.)","5+ years of functional testing experience of TAP application, SDLC, Testing methodologies, Types of testing, Test planning and documentation, Defect management, Testing tools. (Overall 10+ years of experience in quality assurance.); Experience in the banking sector is required.",Unknown,"Analytical, Attention to detail, Technical, Problem-solving, Communication, Time management, Team collaboration, Adaptability, Critical thinking, Attention to process, Continuous learning"
67,Randstad Global IT Solutions B.V.,Global Service Designer,English,Unknown,"3+ years of experience in a service design role or similar, including a keen understanding of working in corporate organizations with lots of stakeholders, under business and technical constraints; experience with journey frameworks, journey mapping and service blueprinting; experience in user-centered design; design thinking, service design; experience with insights management and journey management; experience with creating and operationalizing need-based personas (based on morphological psychology theory); experience in working in fast-paced environments; preferably experience researching as part of (agile) design sprints or supporting different product and process teams","Leading by example, creating delightful services; Creating service design deliverables; conveying complex design concepts clearly; handling multiple projects independently and in multidisciplinary teams; working with journey mapping tools; linking CX metrics to qualitative insights","Passionate about creating delightful services; Strong visual design skills; Excellent communication skills (verbal and written); Strong time management, estimation & planning skills"
68,ABN AMRO Group N.V.,Digital Copywriter or Content Manager,Dutch,Unknown,Minimum 3 years of experience as a digital copywriter or content manager; experience with one or more CMS (experience with Tridion and Scriptura is a plus); experience with Google Search Console (a plus); experience working in an agile team (a plus),"Writing fluent copy; applying B1 guidelines and SEO techniques; taking a leading role in developing and implementing a content strategy; understanding the reasons behind tasks, metrics to be moved, and how a message or page fits into the customer journey; planning independently and collaboratively, meeting all deadlines","Proactive, critical, careful, and a doer; able to work collaboratively and independently"
69,Clink Diensten,Unknown,Dutch,"HBO work and thinking level, computer science or business administration",Proven management qualities and experience in managing teams; Minimum 8 years of knowledge and experience in ICT infrastructures and relevant knowledge of delivery management; ITIL certified and experience in project management (preferred),Unknown,Flexible people manager with a focus on collaboration and a strong technical background
70,Randstad Groep Nederland B.V.,Front End Developer Angular + RxJS,Dutch,Unknown,"Working in a large scale application landscape, Javascript ES6, Angular, React, Typescript, HTML, SASS/SCSS/CSS, JSP.  Preferred experience with NX, Bloomreach / Hippo CMS, FTL (FreeMarker Template Language), ESNext, Jest, Node.js, Gitlab (ci/cd), Cypress, Storybook, Java.",Unknown,"Self-starting professional, structured, analytical, able to approach things outside the box, customer and solution-oriented, ambitious, courageous, persistent, strong communication skills, commitment to completing the job."
71,Koninklijke Philips N.V.,Unknown,English,Bachelor's or Master's degree in Software Engineering or a related field.,8+ years of experience in software design and development; Background in R&D with a solid understanding of product and software development; Experience in a medical-regulated environment is preferred.,Unknown,"Passion for applying Systems Engineering methodologies to software development; Natural talent for training, able to explain complex concepts in simple terms and engage your audience; Strong team player with excellent communication skills; Willingness to travel up to 20% for training delivery and onsite support."
72,Koninklijke KPN N.V.,Unknown,Dutch,Unknown,Unknown,"Active participation in the First Class program; Identifying necessary team expertise for successful project execution and maximizing customer value; Conducting stakeholder analysis and managing diverse interests; Excellent leadership qualities adaptable to various situations and styles; Excellent written and verbal communication; Ensuring adherence to all agreements, including related administration.","Highly involved, detail-oriented, and focused on meeting commitments."
