,company_name,position_name,language,education,experience,responsibility,personality
20,DELA,Microsoft Dynamics F&O Functioneel Consultant,Dutch,"HBO (Higher Professional Education) or WO (University Education), for example in Finance or Business Administration (MER)",Relevant work experience within the Finance domain; Knowledge of and experience with setting up Microsoft Dynamics F&O,"Optimization and development of the current Finance system; Acting as a link between technology, processes, and users; Implementing the best solution for all stakeholder needs; Contributing to the improvement, renewal, and enabling of DELA as a digital insurer; Continuous improvement of Microsoft Dynamics F&O; Identifying automation opportunities; Active role in the migration project to Dynamics 365 F&O; Analyzing and translating business needs into technical solutions; Implementing configurations in Dynamics 365 F&O; Analyzing the impact of updates on the existing environment; Second-line involvement in resolving user questions and problems; Supporting the business during releases; Performing initial tests for developed functionalities.","Agile mindset with Scrum experience; Good communication skills; Analytical mind and ability to solve problems quickly; Ability to plan tasks, prioritize, and meet deadlines"
21,VNG Realisatie,Front-end Webdeveloper,Dutch,Unknown,"More than two years of experience with React for building web applications and components; More than two years of experience developing based on designs in Figma or similar; More than two years of experience working according to the NLDS architecture; Experience working with UX designers and contributing to user-friendly interfaces; demonstrable experience (as evidenced by a motivation letter) with using a design system or developing and maintaining open-source projects; demonstrable experience in developing web applications with accessible forms; More than two years of experience developing accessibly according to WCAG 2 accessibility requirements; Experience setting up a corporate identity with design tokens; demonstrable experience (as evidenced by the CV) as a web developer on projects for which an accessibility statement has been made (name 2 examples in the motivation letter), within the NLDS architecture; demonstrable network experience (as evidenced by the CV) with writing documentation for developers (e.g., in Storybook)",Implementing and maintaining a repository with Storybook for templates and patterns; Collaborating with the UX designer to create consistent templates and patterns; Using insights from the practice of municipalities and suppliers to make improvements; Writing documentation with points of attention for developers; Using Storybook to display templates and patterns in multiple corporate styles; Reviewing whether the results of suppliers meet the goals; Installing software updates; Collecting insights from user research; Explaining how municipalities can link their corporate identity to NL Design System components; Using WCAG success criteria to check templates; Sharing progress and experiences with the NL Design System community; Publishing code as open source; Acting as an ambassador for the project; Collecting feedback; Consulting with the NL Design System core team; Convincing organizations of the benefits of participating; Assisting teams at hackathons; Inventorying existing templates and patterns; Building templates and patterns; Contributing to open source projects; Working with project leaders to obtain guidelines and design criteria,Unknown
22,ING Investment Management,Senior Application Manager (Java & ColdFusion),English,Relevant finished higher education (preferably Information Technology),"At least 4 years of relevant experience within the developer environment; Extensive knowledge of and experience with ColdFusion, Java (J2EE), and internet technologies (XML web services) (approx. 4 years); Extensive knowledge of and experience with relational Databases (Oracle, SQL) (approx. 2 years); Solid test experience and performance tuning (EHcache, Akamai ddos cache); Data modeling (using Oracle Data Modeler); Experience with release and change management; Knowledge of web security (Burp-tool, PEN testing); Scrum; Experience within the financial industry is a plus.","Maintenance of applications (FitVermogen, Mijn Pensioen, Essentie Pensioen) and mid-, front, and back-office systems; Creating technical requirements; Working on data modeling; Performance tuning; Performing pre-PEN tests; Release management; Running the production environment; Analyses; Incident management.",Unknown
23,BonCode,Software Engineer / Analyst,"English, Dutch","HBO, WO level","1 year of work experience; We consider all levels of experience (Junior, Medior, Senior)","Adding functionality to and maintaining source code; Analyzing customers' source code using the company's tool; Supplying consultants with analysis reports for client consulting efforts; Implementing new features such as new languages, metrics/algorithms, UI improvements, and integrations to external systems.",Unknown
24,Social Deal,Android Developer,Dutch,Unknown,"Extensive knowledge of Android, Kotlin, and Java; Experience with design patterns such as MVVM and MVC; Experience with Jetpack Compose is a big plus",Developing native Android apps; Designing and building new features; Implementing design changes and fixing bugs; Creating test plans in collaboration with other departments; Prioritizing work in consultation with the team and Product Owner; Presenting demos to stakeholders; Collaborating daily with other Android and iOS developers on bug fixing and new features.,Flexibility to switch between tasks; Ability to react ad hoc to consumer needs; Problem-solving skills; Independent work style; Team player; Proactive in finding challenges and continuous development
25,Linthorst Installatietechniek,Ontwikkelaar Duurzame Energie - Bestaande bouw / Nieuwbouw (Sustainable Energy Developer - Existing construction / New construction),Dutch,"HBO or university level education, with an interest in technology and sustainable energy",Unknown,"Serving as the primary point of contact for development projects and tenders; Developing winning concepts that meet client needs; Communicating, arranging, organizing, filtering, and handling financial and contractual matters; Working with developers, investors, contractors, and construction companies; Working both on-site and remotely.",Socially strong: from establishing and maintaining customer relationships to strong teamwork; Performs excellently under pressure; Proactive: does not wait and goes for results;  A handy Excel user; Financially competent
26,Unknown,Frontend Developer,Dutch,Unknown,Unknown,"Building and developing top-notch products; Training in-house developers of clients; Focusing on interaction, frontend architecture, and code for excellent user experience; Ensuring good technical functionality, performance, stability across platforms, and flexibility/maintainability; Working on projects aiming to create impactful (mobile) websites or apps for clients such as Marktplaats, Deloitte, ING, and bol.com",Excellent communication skills; Passion for the technology behind (mobile) web and apps; Ability to apply Design Patterns and think from OO principles;  Ability to consider user interaction and experience
27,vidaXL,Lead Functional SAP Consultant Logistics,English,Unknown,"Expertise in integrating ECC with EWM, warehouse structure, master data, cross-process definitions, and resource management; Expertise in EWM functionalities on inbound, storage, replenishment, outbound, and inventory control strategies; Proficiency in inventory management, quality management, and radio frequency frameworks; Skilled in carrier determination, task and resource management, transportation, and yard logistics; Deep knowledge of shipping cost management, international trade, and logistics business networks","Taking ownership of SAP EWM and SAP Yard Logistics Solution; Taking ownership of the carrier integration solution; Being responsible for sorter integration solution, data reporting, and item master integration; Ensuring successful delivery of new projects from requirements gathering through go-live and post-go-live support; Developing and maintaining functional designs, ensuring thorough testing and error-free configurations.","Highly motivated; Experienced; Strong technical and functional skill set; Excellent interpersonal abilities; Ability to thrive in complex, dynamic environments"
28,Darwin Recruitment,SAP EWM Consultant,English,Unknown,Previous experience working on EWM implementation/rollouts on a global level; Minimum 3+ years Consulting/end client experience; Functional Consultant background only,Unknown,Unknown
29,KPMG,Senior Consultant SAP Supply Chain Management,English,"Completed university Master's degree. Preferably in business, IT, or engineering.","2+ years of hands-on SAP Supply Chain experience (Planning, Production, Logistics, Operations, etc.); SAP implementation or consulting project experience","Working on S/4HANA transformations; Translating business requirements into solution designs; Configuring/testing S/4HANA solutions in international business transformations; Advising clients on business transformation using SAP; Getting more value out of their SAP system; Determining the strategic direction within projects and/or teams; Coaching junior team members; Supporting and guiding the business through all stages of SAP implementation; Optimizing processes within SAP; Setting up shared service centers; Implementing, integrating and dismantling SAP environments during mergers and acquisitions; Optimizing master data, reporting or monitoring.","Proactive; Self-motivated; Team player; Motivated to participate in both Dutch and international projects and willing to travel for work; Familiar with current technology trends and a passion for digital innovation; Willingness and drive to learn and grow, and to help make the team even more successful"
